date,type,amount
2021-08-31,Credit Card,1000
2021-08-31,Reimbursement,-200
2021-08-31,Tithe,100
2021-08-31,Insurance,100
2021-09-30,Credit Card,500
2021-09-30,Reimbursement,-200
2021-09-30,Tithe,100
2021-09-30,Insurance,700
2021-10-31,Credit Card,300
2021-10-31,Reimbursement,-200
2021-10-31,Tithe,100
2021-10-31,Insurance,300
2021-11-30,Credit Card,300
2021-11-30,Reimbursement,-200
2021-11-30,Tithe,100
2021-11-30,Insurance,100
2021-12-31,Credit Card,450
2021-12-31,Reimbursement,-200
2021-12-31,Tithe,100
2021-12-31,Insurance,100
2022-01-31,Credit Card,760
2022-01-31,Reimbursement,-200
2022-01-31,Tithe,100
2022-01-31,Insurance,100
2022-02-28,Credit Card,240
2022-02-28,Reimbursement,-200
2022-02-28,Tithe,100
2022-02-28,Insurance,100
2022-03-31,Credit Card,1230
2022-03-31,Reimbursement,-200
2022-03-31,Tithe,100
2022-03-31,Insurance,100
2022-04-30,Credit Card,500
2022-04-30,Reimbursement,-200
2022-04-30,Tithe,100
2022-04-30,Insurance,100
2022-05-31,Credit Card,375
2022-05-31,Reimbursement,-200
2022-05-31,Tithe,100
2022-05-31,Insurance,100
2022-06-30,Credit Card,3000
2022-06-30,Reimbursement,-200
2022-06-30,Tithe,100
2022-06-30,Insurance,100
2022-07-31,Credit Card,3000
2022-07-31,Reimbursement,-200
2022-07-31,Tithe,100
2022-07-31,Insurance,100
2022-08-31,Credit Card,3000
2022-08-31,Reimbursement,-200
2022-08-31,Tithe,100
2022-08-31,Insurance,100
2022-09-30,Credit Card,3000
2022-09-30,Reimbursement,-200
2022-09-30,Tithe,100
2022-09-30,Insurance,100
2022-10-31,Credit Card,3000
2022-10-31,Reimbursement,-200
2022-10-31,Tithe,100
2022-10-31,Insurance,100
2022-11-30,Credit Card,3000
2022-11-30,Reimbursement,-200
2022-11-30,Tithe,100
2022-11-30,Insurance,100
2022-11-30,Special:Wedding Gift,1000
2022-12-31,Credit Card,3000
2022-12-31,Reimbursement,-200
2022-12-31,Tithe,100
2022-12-31,Insurance,100
2023-01-31,Credit Card,2000
2023-01-31,Reimbursement,-300
2023-01-31,Tithe,200
2023-01-31,Insurance,200
2023-02-28,Credit Card,2000
2023-02-28,Reimbursement,-300
2023-02-28,Tithe,200
2023-02-28,Insurance,200
