date,type,amount
2021-08-05,Base,5000
2021-08-05,CPF,1000
2021-09-05,Base,5000
2021-09-05,CPF,1000
2021-10-05,Base,5000
2021-10-05,CPF,1000
2021-11-05,Base,5000
2021-11-05,CPF,1000
2021-12-05,Base,5000
2021-12-05,CPF,1000
2022-01-05,Base,5000
2022-01-05,CPF,1000
2022-02-05,Base,5000
2022-02-05,CPF,1000
2022-03-05,Base,5000
2022-03-05,CPF,1000
2022-04-05,Base,5000
2022-04-05,CPF,1000
2022-04-05,Base Bonus,5000
2022-04-05,CPF Bonus,1000
2022-05-05,Base,5000
2022-05-05,CPF,1000
2022-06-05,Base,5000
2022-06-05,CPF,1000
2022-07-05,Base,5000
2022-07-05,CPF,1000
2022-08-05,Base,5000
2022-08-05,CPF,1000
2022-09-05,Base,5000
2022-09-05,CPF,1000
2022-10-05,Base,5000
2022-10-05,CPF,1000
2022-11-05,Base,5000
2022-11-05,CPF,1000
2022-12-05,Base,5000
2022-12-05,CPF,1000
2023-01-05,Base,5000
2023-01-05,CPF,1000
2023-02-05,Base,5000
2023-02-05,CPF,1000
